Latitude,Longitude
-22.46809815399996,-46.54251203399997
-22.46723146299996,-46.54942528899994
-22.46901650499996,-46.55379191399993
-22.46958393999995,-46.55841969499994
-22.47264447799995,-46.55930881799998
-22.47626510499998,-46.56445568299995
-22.47734482099997,-46.56576346999998
-22.47835705399996,-46.56592909499994
-22.48012843399994,-46.56492576199997
-22.48303147599995,-46.56281914899995
-22.48535763199993,-46.56364878499994
-22.48637403799995,-46.56520495799998
-22.48682342199993,-46.56873681099995
-22.48604180799998,-46.57617337699998
-22.48586954799998,-46.57964805499994
-22.48818401599993,-46.58706164899996
-22.48831657599993,-46.58764182699997
-22.48961763999995,-46.58478609299993
-22.49138207599998,-46.58461688599994
-22.49323267799997,-46.58587028199997
-22.49744542599996,-46.58248418499995
-22.50091073299996,-46.58145418399994
-22.50378937999994,-46.57829067499995
-22.50797936999993,-46.58113123499993
-22.51272886499993,-46.58312258199993
-22.51569720899994,-46.58595395699996
-22.51512744799993,-46.58722949799994
-22.51275214799995,-46.58958861299993
-22.51469133999996,-46.59462470899996
-22.51387024699994,-46.59787219899994
-22.51428717999994,-46.59903272599996
-22.51678354799998,-46.60475516499997
-22.52132687799997,-46.60947996099998
-22.52954938099998,-46.61034726299994
-22.53815420699993,-46.61276168999995
-22.54028691999997,-46.61417355899994
-22.54304360599997,-46.61331309999997
-22.54621025299997,-46.61192086899996
-22.54854168399993,-46.61034145199994
-22.54915277799995,-46.60956675899996
-22.55035449299993,-46.60697151799998
-22.55771589999995,-46.60361546899998
-22.56241117499997,-46.60328664799994
-22.56400399399996,-46.60616527199995
-22.56919587899995,-46.60390610699994
-22.57164151499995,-46.60353702699996
-22.57440205099994,-46.60817473999998
-22.58085235399994,-46.60976338699993
-22.58539649799997,-46.60909289899996
-22.59283155999998,-46.60950263399997
-22.60219292699998,-46.60844859399998
-22.60314934499996,-46.60570303299994
-22.60333959899998,-46.60476470299994
-22.60412794599995,-46.60470412899997
-22.60849875899993,-46.60622893499994
-22.61277992899994,-46.60423395199996
-22.62032828399998,-46.60495566499998
-22.62646493099993,-46.60462729499994
-22.62775157899995,-46.60297933699997
-22.62927578699998,-46.60081734499994
-22.63100720399996,-46.60179327799995
-22.63372638599998,-46.60411931399996
-22.63587246099996,-46.60703487399996
-22.63649883399996,-46.61186512699993
-22.63220548799995,-46.61311988799997
-22.63168910499996,-46.61556257799998
-22.63263411299994,-46.61823234499997
-22.63625736199998,-46.61784739699994
-22.64036211699994,-46.61964293399996
-22.64332602599995,-46.61962131899998
-22.64735521299997,-46.62045435699998
-22.64838629299993,-46.62291906399997
-22.64870904499998,-46.62689577499998
-22.65103742199994,-46.62937054999998
-22.65357346499997,-46.62573191499996
-22.65840044999993,-46.62561949199994
-22.66140187999997,-46.62667584299992
-22.66456464699996,-46.62903675399998
-22.66666659999993,-46.62908867499992
-22.66988462599994,-46.63111615199995
-22.67371103299996,-46.63064726199997
-22.67531379799993,-46.62917172999994
-22.67650217799996,-46.62411203099998
-22.67759220999994,-46.61918897399994
-22.67970637299993,-46.61889929599994
-22.68107024799997,-46.621233433
-22.68551419699997,-46.62256653099995
-22.68659969199996,-46.62301425699997
-22.68899746799997,-46.61970653599997
-22.69217749599994,-46.61779405899995
-22.69611281699997,-46.61739793799995
-22.69918194499996,-46.61811963899999
