"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"3769060318","e0a74bde","0080e115005394a9","S22C004580EA","0.787326","0.0","0.0","5","3","0001106306","-23.5165051338","-46.7865948626","1"
"473320656","1c364cd0","0080E1150044D87B","S22C006867II","0.575868","0.0","0.0","11","8","4000114515","-23.5471794716","-46.8094595442","1"
"1402162625","53934dc1","0080E11500546F64","S22C004835II","0.892361","0.0","0.0","4","4","4000995592","-23.5471794716","-46.8094595442","1"
"1005143085","3be9442d","0080E11500546BD5","S22C004820II","0.844097","0.0","0.0","5","5","4000995657","-23.5471794716","-46.8094595442","1"
"104023148","0633446c","0080E1150044E43F","S22C004797II","0.727951","0.0","0.0","5","4","4000995601","-23.5471794716","-46.8094595442","1"
"1906788665","71a74939","0080E1150044E752","S22C004795II","0.0","0.0","0.0","30","30","4000995585","-23.5471794716","-46.8094595442","0"
"82526567","04eb4167","0080E115005464C9","S22C005007II","0.509896","0.0","0.0","12","8","4000995593","-23.5471794716","-46.8094595442","1"
"3258532955","c239445b","0080E11500546FB1","S22C004893II","0.913542","0.0","0.0","3","3","4000995656","-23.5471794716","-46.8094595442","1"
"2360887551","8cb848ff","0080E1150509010F","S22C004638II","0.879861","0.0","0.0","4","3","4000995640","-23.5471794716","-46.8094595442","1"
"4053942374","f1a24066","0080e1150059c8e8","S22C004843EA","0.660417","0.0","0.0","9","7","0001106320","-23.5165051338","-46.7865948626","1"
"4194913760","fa094de0","0080e1150053dcd4","S22C004216EA","0.0","0.0","0.0","30","30","0001106369","-23.5165051338","-46.7865948626","0"
"401361216","17ec4940","0080e1150511cf0f","S22C004369EA","0.436979","0.0","0.0","15","10","0001106373","-23.5165051338","-46.7865948626","1"
"2804959230","a73047fe","0080E11500546EB1","S22C004878II","0.0","0.0","0.0","30","30","4000995704","-23.5471794716","-46.8094595442","0"
"1332298517","4f694315","0080E1150044E569","S22C004986II","0.775694","0.0","0.0","7","7","4000995697","-23.5471794716","-46.8094595442","1"
"1588544558","5eaf442e","0080e11500504f1f","S22C004781EA","0.4375","0.0","0.0","15","10","0001106328","-23.5165051338","-46.7865948626","1"
"2550153642","980041aa","0080e1150518bfd9","S22C004355EA","0.150174","0.0","0.0","25","16","0001106349","-23.5165051338","-46.7865948626","1"
"2760198669","a4854a0d","0080E1150508E2F9","S22C004574II","0.0","0.0","0.0","30","30","4000995641","-23.5471794716","-46.8094595442","0"
"3438103690","cced4c8a","0080E1150044F4E0","S22C005931II","0.692535","0.0","0.0","8","3","4000995609","-23.5471794716","-46.8094595442","1"
"4064362802","f2414132","0080E1150054700F","S22C004796II","0.8","0.0","0.0","6","4","4000995625","-23.5471794716","-46.8094595442","1"
"2715304047","a1d8406f","0080e11500216250","S22C004581EA","0.0","0.0","0.0","30","30","0001106277","-23.5165051338","-46.7865948626","0"
"3869200136","e69f4f08","0080E115005464C1","S22C004848II","0.751215","0.0","0.0","7","5","4000995600","-23.5471794716","-46.8094595442","1"
"1309361899","4e0b46eb","0080e1150511df58","S22C004956EA","0.705556","0.0","0.0","8","4","4000114489","-23.5471794716","-46.8094595442","1"
"89476151","05554c37","0080E1150044E749","S22C004936II","0.744097","0.0","0.0","5","4","4000995616","-23.5471794716","-46.8094595442","1"
"3279242908","c375469c","0080E115005402F2","S22C004619II","0.809722","0.0","0.0","5","4","4000995624","-23.5471794716","-46.8094595442","1"
"3715516216","dd764738","0080E11500256E1D","S22C004892II","0.899653","0.0","0.0","4","3","4000995632","-23.5471794716","-46.8094595442","1"
"1150635913","44954f89","0080E1150044E818","S22C005049II","0.902083","0.0","0.0","3","3","4000995672","-23.5471794716","-46.8094595442","1"
"936329893","37cf42a5","0080e1150511ca55","S22C004594EA","0.881771","0.0","0.0","3","3","0001106265","-23.5165051338","-46.7865948626","1"
"1177109718","462944d6","0080E11500546CF9","S22C005026II","0.944792","0.0","0.0","3","3","4000995680","-23.5471794716","-46.8094595442","1"
"3922020786","e9c549b2","0080E11500256E18","S22C004930II","0.914062","0.0","0.0","3","3","4000995688","-23.5471794716","-46.8094595442","1"
"700989645","29c840cd","0080E115050986C9","S22C004943II","0.915625","0.0","0.0","3","3","4000995696","-23.5471794716","-46.8094595442","1"
"1012286268","3c56433c","0080E11500255964","S22C004915II","0.763715","0.0","0.0","7","6","4000995665","-23.5471794716","-46.8094595442","1"
"1967541233","75464bf1","0080E1150044EF73","S22C004908II","0.81875","0.0","0.0","6","5","4000995681","-23.5471794716","-46.8094595442","1"
"4157228142","f7ca446e","0080E11500257EC8","S22C004884II","0.0","0.0","0.0","30","30","4000995689","-23.5471794716","-46.8094595442","0"
"115821650","06e74c52","0080E1150054662D","S22C004955II","0.555903","0.0","0.0","10","8","4000995590","-23.5471794716","-46.8094595442","1"
"1596539152","5f294110","0080e11500547358","S22C004949EA","0.278125","0.0","0.0","21","20","4000114610","-23.5471794716","-46.8094595442","1"
"2506246179","95624823","0080e11500216269","S22C004282EA","0.4625","0.0","0.0","15","7","0001106371","-23.5165051338","-46.7865948626","1"
"851658307","32c34643","0080E1150054049C","S22C004827II","0.90191","0.0","0.0","2","2","4000995591","-23.5471794716","-46.8094595442","1"
"4023141821","efcc45bd","0080E11500546BCA","S22C004869II","0.708854","0.0","0.0","9","8","4000995606","-23.5471794716","-46.8094595442","1"
"3029159043","b48d4c83","0080E115005467BA","S22C004905II","0.0","0.0","0.0","30","30","4000995630","-23.5471794716","-46.8094595442","0"
"175784399","0a7a41cf","0080E1150509668D","S22C004465II","0.706771","0.0","0.0","6","5","4000995639","-23.5471794716","-46.8094595442","1"
"240599711","0e57429f","0080E11500546A76","S22C004603II","0.0","0.0","0.0","30","30","4000995671","-23.5471794716","-46.8094595442","0"
"1450854116","567a46e4","0080E115005464C0","S22C004990II","0.687326","0.0","0.0","8","3","4000995695","-23.5471794716","-46.8094595442","1"
"4216670141","fb5547bd","0080E11500257B96","S22C004872II","0.867361","0.0","0.0","4","3","4000995694","-23.5471794716","-46.8094595442","1"
"2553627204","98354244","0080E115005467A2","S22C004945II","0.869965","0.0","0.0","4","4","4000995686","-23.5471794716","-46.8094595442","1"
"2230996711","84fa4ee7","0080E11500546629","S22C004822II","0.777778","0.0","0.0","7","7","4000995678","-23.5471794716","-46.8094595442","1"
"3567863745","d4a947c1","0080E11500546E6A","S22C005022II","0.711979","0.0","0.0","9","8","4000995663","-23.5471794716","-46.8094595442","1"
"2814790642","a7c64bf2","0080E11500546632","S22C004980II","0.797396","0.0","0.0","6","6","4000995607","-23.5471794716","-46.8094595442","1"
"1219314864","48ad44b0","0080E1150053D9AB","S22C004866II","0.70434","0.0","0.0","7","4","4000995646","-23.5471794716","-46.8094595442","1"
"4129636546","f62540c2","0080E11500546EB0","S22C005035II","0.773958","0.0","0.0","6","3","4000995702","-23.5471794716","-46.8094595442","1"
"1691305781","64cf4735","0080E11500546A1E","S22C004992II","0.0","0.0","0.0","30","30","4000995638","-23.5471794716","-46.8094595442","0"
"2392802235","8e9f43bb","0080E11500546AC5","S22C005058II","0.658333","0.0","0.0","9","8","4000995599","-23.5471794716","-46.8094595442","1"
"1330594510","4f4f42ce","0080E11500258442","S22C004995II","0.844097","0.0","0.0","5","3","4000995655","-23.5471794716","-46.8094595442","1"
