"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"2845134292","a9954dd4","0080e1150055be05","S22C004071IA","0.776734","0.0","0.0","0","0","4000575326","-23.556613899999999","-46.770441400000003","2"
"479153382","1c8f4ce6","0080e1150511f0dd","S22C002902IA","0.626437","0.0","0.0","11","7","4000575325","-23.5572509","-46.769199899999997","1"
"2141736573","7fa84e7d","0080e11500504f97","S22C003982EA","0.218258","0.0","0.0","21","10","4000575324","-23.556172","-46.769922000000001","1"
"3418836119","cbc74c97","0080e1150055a140","S22C000264IA","0.586207","0.0","0.0","12","7","4000575316","-23.556172","-46.769922000000001","1"
"4241968527","fcd74d8f","0080e1150040b7b7","S22C000743LA","0.873761","0.0","0.0","5","5","4000575314","-23.5572509","-46.769199899999997","1"
"651576388","26d64444","0080e1150040e26c","S22C014579LA","0.917893","0.0","0.0","4","4","4000575311","-23.5572509","-46.769199899999997","1"
"2155299207","80774187","0080e11500546dfd","S22C004149IA","1.0","0.0","0.0","4","4","4000575302","-23.559406800000001","-46.816547100000001","1"
"3123725128","ba304348","0080e1150518c39a","S22C001807IA","0.58046","0.0","0.0","12","8","4000575299","-23.5572509","-46.769199899999997","1"
"1539654263","5bc54277","0080e115002594f6","S22C002751IA","0.794992","0.0","0.0","0","0","4000575298","-23.559406800000001","-46.816547100000001","2"
"857687647","331f465f","0080e11500218af2","S22C003087IA","0.782473","0.0","0.0","0","0","4000575297","-23.559406800000001","-46.816547100000001","2"
"1720337159","668a4307","0080e1150055af91","S22C002181IA","0.751382","0.0","0.0","1","1","4000575294","-23.556172","-46.769922000000001","1"
"281037279","10c049df","0080e11500217d43","S22C001874EA","0.669901","0.0","0.0","8","6","4000575289","-23.556382899999999","-46.770773300000002","1"
"1809009533","6bd34b7d","0080e115053df48d","S22C024010DA","0.802817","0.0","0.0","5","4","4000575277","-23.5572509","-46.769199899999997","1"
"4162997329","f8224c51","0080e115005047f9","S22C003889EA","0.554408","0.0","0.0","12","6","4000575389","-23.556613899999999","-46.770441400000003","1"
"2296136835","88dc4483","0080e11500559c54","S22C001656IA","0.709651","0.0","0.0","1","1","4000575385","-23.5572509","-46.769199899999997","1"
"3743960140","df284c4c","0080e115057c6309","S22C001907IA","0.734168","0.0","0.0","1","1","4000575382","-23.5572509","-46.769199899999997","1"
"600067773","23c44ebd","0080e115057c640b","S22C001931IA","0.270115","0.0","0.0","20","8","4000575372","-23.5572509","-46.769199899999997","1"
"287395277","11214dcd","0080e1150044dedf","S22C001244IA","0.736255","0.0","0.0","1","1","4000575366","-23.5572509","-46.769199899999997","1"
"1709000172","65dd45ec","0080e115057c6157","S22C003913IA","0.333333","0.0","0.0","19","8","4000575438","-23.556172","-46.769922000000001","1"
"0","","","","0.0","0.0","0.0","30","30","4000575437","-23.5572509","-46.769199899999997","0"
"3965800136","ec614ec8","0080e1150044eef0","S22C002204IA","0.767345","0.0","0.0","0","0","4000575430","-23.559406800000001","-46.816547100000001","2"
"3274915859","c3334013","0080e115005402a5","S22C000964IA","0.744601","0.0","0.0","1","1","4000575427","-23.5572509","-46.769199899999997","1"
"1990739733","76a84715","0080e11500505099","S22C001928EA","0.230464","0.0","0.0","22","9","4000575364","-23.559406800000001","-46.816547100000001","1"
"589186256","231e44d0","0080e115057c5504","S22C003306IA","0.727387","0.0","0.0","1","1","4000575426","-23.5572509","-46.769199899999997","1"
