"Modulo","Id/DevAddr","Pac/DevEUI","Nro Série","IEF","IEF 3 dias","IEF 7 dias","Qtd dias sem transmissao","Qtd dias consecutivos sem transmissao","Matrícula","Latitude","Longitude","Status"
"3020508979","b4094f33","0080e11500257da7","S22C010604LA","0.861632","0.0","0.0","4","3","4001351074","-23.5607","-46.8171","1"
"2147962863","80074fef","0080e115005981fa","S22C004849LA","0.883854","0.0","0.0","3","3","4001351077","-23.5607","-46.8171","1"
"3308602448","c5354450","0080e11500598b07","S22C010569LA","0.993924","0.0","0.0","1","1","4001351078","-23.5607","-46.8171","1"
"1659326433","62e74fe1","0080e1150044d987","S22C010444LA","0.968403","0.0","0.0","1","1","4001351067","-23.5607","-46.8171","1"
"2565162275","98e54523","0080e11500258ada","S22C010445LA","0.942535","0.0","0.0","2","2","4001351066","-23.5607","-46.8171","1"
"1011895493","3c504cc5","0080e1150044e6b3","S22C010608LA","0.993924","0.0","0.0","1","1","4001351068","-23.5607","-46.8171","1"
"2848670904","a9cb44b8","0080e115002579a6","S22C004851LA","0.919097","0.0","0.0","2","1","4001351070","-23.5607","-46.8171","1"
"538002637","201144cd","0080e11500546c22","S22C010619LA","0.968403","0.0","0.0","1","1","4001351060","-23.5607","-46.8171","1"
"3292613868","c4414cec","0080e1150044d6b2","S22C004836LA","0.920313","0.0","0.0","3","3","4001351059","-23.5607","-46.8171","1"
"1369722716","51a44f5c","0080e1150044e436","S22C010510LA","0.964757","0.0","0.0","1","1","4001351061","-23.5607","-46.8171","1"
"2216641544","841f4408","0080e1150044e941","S22C010545LA","0.919271","0.0","0.0","3","3","4001351063","-23.5607","-46.8171","1"
"1362837594","513b405a","0080e1150044e7f3","S22C004834LA","1.0","0.0","0.0","0","0","4001351062","-23.5607","-46.8171","2"
"3405530841","cafc46d9","0080e1150059a43f","S22C004858LA","0.943576","0.0","0.0","2","1","4001351128","-23.5607","-46.8171","1"
"2994749701","b2804105","0080e11500546bf7","S22C011581LA","0.791146","0.0","0.0","6","3","4001351131","-23.5607","-46.8171","1"
