Latitude,Longitude
-23.50817588899997,-46.69707964899993
-23.50788620799995,-46.70423637199997
-23.50849359799997,-46.70554665799995
-23.50862482199995,-46.71516701999997
-23.50815084799996,-46.71646279299996
-23.50809847199997,-46.71873009399997
-23.50823209899994,-46.71900626199994
-23.50834798499994,-46.71971814799997
-23.50866646599997,-46.71996468999998
-23.50883044299997,-46.72031478899999
-23.50899786099996,-46.72210200999996
-23.51137794599998,-46.72265747599993
-23.51219353899995,-46.72301893199995
-23.51257928199993,-46.72354403799994
-23.51301955499997,-46.72484735699993
-23.51378460399997,-46.72550989899996
-23.51413763199997,-46.72592933699997
-23.51436424599996,-46.72623431699998
-23.51454807099998,-46.72635018399994
-23.51461783899998,-46.72657410299997
-23.51475876699993,-46.72677996099997
-23.51486439199994,-46.72757020299997
-23.51531434999998,-46.72792174999995
-23.51549392399994,-46.72820152899993
-23.51565967999994,-46.72854219099997
-23.51583830399994,-46.72917822299996
-23.51617663899998,-46.72945552899995
-23.51633429299994,-46.73038373599996
-23.51687110199998,-46.73065794099995
-23.51700621299995,-46.73113709499995
-23.51725372499993,-46.73183875899998
-23.51754932799997,-46.73218370999996
-23.51764346399995,-46.73258511399996
-23.51773290799997,-46.73291686299996
-23.51777519599995,-46.73706373399995
-23.51765716999995,-46.73756950399996
-23.51763436599998,-46.73822651299997
-23.51761319699995,-46.73906646699992
-23.51757871799998,-46.73952173699996
-23.51755076899997,-46.73989842699996
-23.51756345299998,-46.74023195999995
-23.51756297899993,-46.74032132799994
-23.51756088699995,-46.74041079999994
-23.51755888799994,-46.74067996899998
-23.51754929499998,-46.74109670299998
-23.51753044599997,-46.74186939399993
-23.51750563899998,-46.74234577699996
-23.51750382199998,-46.74295381699994
-23.51756457199997,-46.74340195999997
-23.51764911499998,-46.74372895699997
-23.51773349399997,-46.74402828999996
-23.51784230199996,-46.74455753699994
-23.51804063799995,-46.74500943099997
-23.51828244699993,-46.74558884199996
-23.51869665199996,-46.74606205899994
-23.51909336899996,-46.74640819699994
-23.51944833199997,-46.74672613899997
-23.51984595799996,-46.74689597499997
-23.52007902099996,-46.74698942199996
-23.52019842799997,-46.74711946299993
-23.52042903899996,-46.74719926299998
-23.52056882099998,-46.74727180999997
-23.52071548099997,-46.74729561499997
-23.52080470599998,-46.74765797399994
-23.52163807499994,-46.74795283499998
-23.52229711399997,-46.74821733099998
-23.52276415399996,-46.74846736499994
-23.52334387499997,-46.74903087899997
-23.52430952599997,-46.74923386999996
-23.52449216899993,-46.74981304299996
-23.52496127499995,-46.75028876699997
-23.52518048499996,-46.74997680599995
-23.52647231499998,-46.74921697899998
-23.52788899499996,-46.74891987699994
-23.53135073099997,-46.74887287899998
-23.53171409899994,-46.74882905199996
-23.53209511099993,-46.74875604699998
-23.53234534999996,-46.74842638399997
-23.53304101599997,-46.74789852899994
-23.53392430899993,-46.74680290899995
-23.53489531999998,-46.74490787199994
-23.53652557599997,-46.74405452499997
-23.53729077099996,-46.74270576199995
-23.53850724099993,-46.73475150799993
-23.54543817499996,-46.73014290399993
-23.54932621199998,-46.72949337099993
-23.54963946399994,-46.72909112799994
-23.54982038199995,-46.72838077699998
-23.55017848199998,-46.72721643899995
-23.55072526799995,-46.72587986299993
-23.55136770399997,-46.72371425599994
-23.55244998899997,-46.72285692399998
-23.55285772099995,-46.72167044099996
-23.55346143599996,-46.71995405999995
-23.55427038199997,-46.71943426099995
-23.55453574899997,-46.71833671099995
-23.55508056799994,-46.71538860399994
-23.55650864399996,-46.71199846499997
-23.55822310899998,-46.71184964299994
-23.55829031199994,-46.71173714999998
-23.55834031399996,-46.71167831499996
-23.55836543899994,-46.71150920299992
-23.55843844899994,-46.71081909399993
-23.55877871299998,-46.71002936699994
-23.55915024999996,-46.70907274199993
-23.55959122599995,-46.70813552199996
-23.56007805999997,-46.70729412799994
-23.56064582099998,-46.70675645099993
-23.56108579099998,-46.70560165599994
-23.56236468499998,-46.70528944399996
-23.56283370999995,-46.70496301499998
-23.56338577699995,-46.70458595099996
-23.56418149999996,-46.70426022999993
-23.56505467399995,-46.70408488899994
-23.56554899999998,-46.70385385299994
-23.56619854199994,-46.70356975499993
-23.56704155399996,-46.70242839199993
-23.56987056199995,-46.70123576099996
-23.57196155599996,-46.69988279899997
-23.57330470099993,-46.69952766699998
-23.57361741799997,-46.69865025099995
-23.57445472399996,-46.69823195499998
-23.57481605999993,-46.69778631299994
-23.57525837099996,-46.69722307299998
-23.57584478499996,-46.69682032199995
-23.57638712099998,-46.69645950099994
-23.57695047999994,-46.69609429199994
-23.57755587599996,-46.69583357899995
-23.57800500199994,-46.69547528799995
-23.57864553899998,-46.69523923099996
-23.57896920899998,-46.69493818399997
-23.57952839499995,-46.69424129899994
-23.58079489699998,-46.69379146099993
-23.58153963499996,-46.69358450299995
-23.58198781499993,-46.69331356999992
-23.58246756099993,-46.69299838599995
-23.58299320199995,-46.69275095699993
-23.58345643699994,-46.69199047099995
-23.58477084199995,-46.69192915499997
-23.58497974999995,-46.69176358
-23.58552932699996,-46.69170366499998
-23.58581739999994,-46.69154759199995
-23.58654315199993,-46.69156684399996
-23.58685222399998,-46.69162143899996
-23.58755697799995,-46.69170037799995
-23.58804471999997,-46.69179293799994
-23.58834795499996,-46.69196390199994
-23.58892012299998,-46.69206755799996
-23.58914755099994,-46.69218644799997
-23.58945698599996,-46.69227386899996
-23.58974941799994,-46.69254113599993
-23.59047181299997,-46.69274299299997
-23.59103164299996,-46.69288893399995
-23.59146159599993,-46.69306375399998
-23.59195976799999,-46.69325728299999
-23.59255537999996,-46.69346269099999
-23.59309404399994,-46.69351174099995
-23.59330345899997,-46.69361753899994
-23.59355460099994,-46.69379283199999
-23.59401890399994,-46.69388755299997
-23.59430692899997,-46.69427117499998
-23.59526951199996,-46.69182461699995
-23.59634892499997,-46.68651046899998
-23.59886287399996,-46.68295822199997
-23.60136831399996,-46.68155258899998
-23.60241631999997,-46.67996334699995
-23.60382807799994,-46.67967069399997
-23.60437115499997,-46.67929528299993
-23.60510224299998,-46.67862273999998
-23.60649339399998,-46.67817178599995
-23.60724081399997,-46.67764139199993
-23.60777690599997,-46.67691428999996
-23.60816365499994,-46.67660738699993
-23.60844167999995,-46.67454751399998
-23.61052380799998,-46.67471421399995
-23.61093394999995,-46.67363194399996
-23.61164340299996,-46.67104298199997
-23.61285282199998,-46.66729938999998
-23.61541488799998,-46.66426828099998
-23.61622646799998,-46.66168170499998
-23.61739215499995,-46.65645262999993
-23.61989001799997,-46.65390369999994
-23.62159050499997,-46.65249127299995
-23.62251534799998,-46.65173343099997
-23.62295622699998,-46.65090717299995
-23.62354639999995,-46.65051669599995
-23.62385152199994,-46.65008246599996
-23.62426095699993,-46.64964914399997
-23.62474309699996,-46.64935053299996
-23.62519262599994,-46.64914093299996
